<DATE>,<CLOSE>
02/05/20,84.39
02/06/20,83.71
02/07/20,84.53
02/10/20,82.05
02/11/20,82.18
02/12/20,82.78
02/13/20,81.47
02/14/20,82.17
02/17/20,82.19
02/18/20,80.5
02/19/20,81.25
02/20/20,82.96
02/21/20,83.2
02/25/20,80.2
02/26/20,79
02/27/20,76.26
02/28/20,71.39
03/02/20,71.56
03/03/20,70.82
03/04/20,71.56
03/05/20,71.65
03/06/20,70.75
03/10/20,68.61
03/11/20,69.42
03/12/20,63.55
03/13/20,62.79
03/16/20,59.95
03/17/20,58.98
03/18/20,54
03/19/20,59.7
03/20/20,57.3
03/23/20,57.56
03/24/20,58.37
03/25/20,61.61
03/26/20,60.46
03/27/20,56.9
03/30/20,58.72
03/31/20,64.59
04/01/20,63.43
04/02/20,61.8
04/03/20,61.59
04/06/20,63.5
04/07/20,65.8
04/08/20,65.58
04/09/20,67.33
04/10/20,66.35
04/13/20,64.75
04/14/20,63.5
04/15/20,59.9
04/16/20,59.24
04/17/20,60.78
04/20/20,60.02
04/21/20,60.28
04/22/20,61.71
04/23/20,62.87
04/24/20,61.11
04/27/20,61.76
04/28/20,63.77
04/29/20,63.9
04/30/20,62.2
05/04/20,62.5
05/05/20,62.79
05/06/20,61.73
05/07/20,62.51
05/08/20,62.4
05/12/20,62.86
05/13/20,61.18
05/14/20,61.09
05/15/20,59.82
05/18/20,61.33
05/19/20,61.5
05/20/20,63.97
05/21/20,63.6
05/22/20,63.81
05/25/20,63.9
05/26/20,64.7
05/27/20,65.84
05/28/20,67.95
05/29/20,66
06/01/20,69.02
06/02/20,68.27
06/03/20,68.03
06/04/20,66.89
06/05/20,65.05
06/08/20,66.5
06/09/20,65.28
06/10/20,64.15
06/11/20,62.95
06/15/20,63.5
06/16/20,63.92
06/17/20,63.94
06/18/20,63.25
06/19/20,64.22
06/22/20,64.2
06/23/20,64.29
06/25/20,63.39
06/26/20,63.24
06/29/20,64.22
06/30/20,64.49
07/02/20,65.32
07/03/20,65.67
07/06/20,66.07
07/07/20,66.15
07/08/20,66.88
07/09/20,65.91
07/10/20,64.2
07/13/20,63.55
07/14/20,62.49
07/15/20,63.41
07/16/20,64.18
07/17/20,64.04
07/20/20,64.5
07/21/20,65
07/22/20,64.94
07/23/20,64.02
07/24/20,64.94
07/27/20,66.68
07/28/20,65.64
07/29/20,66.34
07/30/20,66.5
07/31/20,68.27
08/03/20,68.57
08/04/20,69.9
08/05/20,69.86
08/06/20,70.1
08/07/20,68.85
08/10/20,69.85
08/11/20,69.44
08/12/20,69.89
08/13/20,69.75
08/14/20,67.98
08/17/20,66.48
08/18/20,65.42
08/19/20,66.33
08/20/20,66.34
08/21/20,66.43
08/24/20,67.39
08/25/20,67.19
08/26/20,67.4
08/27/20,67.4
08/28/20,67.18
08/31/20,66.15
09/01/20,68.25
09/02/20,66.67
09/03/20,66.9
09/04/20,67.92
09/07/20,68.39
09/08/20,69.37
09/09/20,69.2
09/10/20,71.65
09/11/20,74.94
09/14/20,73.7
09/15/20,75.15
09/16/20,74.98
09/17/20,75.1
09/18/20,76.3
09/21/20,74.7
09/22/20,74.93
09/23/20,72.95
09/24/20,73.04
09/25/20,71.94
09/28/20,72.64
09/29/20,72.1
09/30/20,73.78
10/01/20,73.99
10/02/20,74.12
10/05/20,74.56
10/06/20,76.97
10/07/20,76.28
10/08/20,77.7
10/09/20,75.41
10/12/20,78.22
10/13/20,76.4
10/14/20,76.85
10/15/20,75.71
10/16/20,76
10/19/20,75.64
10/20/20,75.48
10/21/20,74.83
10/22/20,75.18
10/23/20,74.94
10/26/20,74.15
10/27/20,74.46
10/28/20,70.24
10/29/20,71.81
10/30/20,70.75
11/02/20,70.96
11/03/20,71.89
11/05/20,74.9
11/06/20,76.78
11/09/20,79.91
11/10/20,79.24
11/11/20,79.67
11/12/20,79.52
11/13/20,81.2
11/16/20,86.4
11/17/20,86.3
11/18/20,88.9
11/19/20,89.54
11/20/20,88.38
11/23/20,86.93
11/24/20,85.74
11/25/20,87.69
11/26/20,87.37
11/27/20,90.53
11/30/20,88.52
12/01/20,89.9
12/02/20,89.76
12/03/20,89.44
12/04/20,91.54
12/07/20,91.93
12/08/20,92.95
12/09/20,91.65
12/10/20,92.21
12/11/20,92.1
12/14/20,90.4
12/15/20,91.95
12/16/20,96.27
12/17/20,96.49
12/18/20,94.58
12/21/20,94.85
12/22/20,96.14
12/23/20,97.23
12/24/20,97.71
12/25/20,97.11
12/28/20,97.65
12/29/20,97.67
12/30/20,99
01/04/21,98.73
01/05/21,99.58
01/06/21,100.94
01/08/21,104.17
01/11/21,105.85
01/12/21,107.46
01/13/21,106.13
01/14/21,105.42
01/15/21,104.11
01/18/21,103.06
01/19/21,103.59
01/20/21,105.77
01/21/21,105.99
01/22/21,103.43
01/25/21,101.1
01/26/21,104.11
01/27/21,100.52
01/28/21,101.2
01/29/21,99.22
02/01/21,100.61
02/02/21,102.15
02/03/21,103.66
02/04/21,102.61
02/05/21,102.32
